,bURL,bRating,bReview,bReviewCategory,VASentiment,PreprocessedReviews,IsEnglish
498,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.0,"This was the first book I read from the Robert Langdon series. I thought it was a good introduction to him. I know a lot of people read The DaVinci code first and then go back to this one which was published first and feel a little dissatisfied.
I recommend going on order to avoid that. I enjoyed it, it was interesting and then ending wasn’t too predictable. It felt weird that the whole book really takes place in less than 24 hours but somehow it works. Would recommend.",Neutral,Positive,first book read robert langdon series thought good introduction know lot people read davinci code first go back one published first feel little dissatisfied recommend going order avoid enjoyed interesting ending predictable felt weird whole book really takes place less hours somehow works would recommend,True
499,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,5.0,"At this point, all of Langdons escapades are redundant. The writing is well done, but the plots are a little old. I keep reading them because I absolutely love the amount of historical facts interspersed throughout. I love historical fiction and Dan Brown really brings that aspect to the table.",Positive,Positive,point langdons escapades redundant writing well done plots little old keep reading absolutely love amount historical facts interspersed throughout love historical fiction dan brown really brings aspect table,True
500,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.0,"This book was part of my TBR Roulette where an online tool picks one of my unread books and I have to either discard of it or read it (with the option to DNF).

And I did DNF it. Becaus 1) I realized I had already read it and 2) meh. It's just not doing it for me. Way too dramatic. Might be because I am more on an Romance/Fantasy trip right now but I choose to believe it is because my tastes have evolved.",Neutral,Negative,book part tbr roulette online tool picks one unread books either discard read option dnf dnf becaus realized already read meh way dramatic might trip right choose believe tastes evolved,True
501,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.0,"Although I'm not fond of all the religious speeches, I really liked all of the art and architecture included. I guess the fact that the most overly religious character is actually the evil mastermind makes it easier for me to stomach. I thoroughly enjoy the idea of some sort of historical puzzle hidden in art and architecture and will be going on to read the next book in the series.",Positive,Positive,although fond religious speeches really liked art architecture included guess fact overly religious character actually evil mastermind makes easier stomach thoroughly enjoy idea sort historical puzzle hidden art architecture going read next book series,True
502,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,5.0,This book made me wish that Storygraph had a “Stupid” button in the Mood section.,Positive,Positive,book made wish storygraph stupid button mood section,True
503,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.5,"I'm just more infatuated with Italy than Brown's second book's setting in Paris. Plus, this was a super-fast read!",Neutral,Positive,infatuated italy brown second book setting paris plus read,True
504,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.0,"This book did lots of things right and a few things wrong.

The things it did right!
- The plot was amazing and it kept me guessing. I have been having some issues with thrillers recently where I am able to guess the entire plot of the book from the first 50 pages which ruins the fun for me. I love guessing about the plot. I don't like too many hints and I don't like to be blindsided with something that doesn't make sense. This plot, however, was immaculate. Each twist felt organic and unexpected, red herrings were expertly placed and the pace was just perfect.
-The setting was so good. The book takes place in CERN and The Vatican/Rome so its backdrop was fantastic. Felt like I was taking a small holiday when I picked up this book.

Things it got wrong!
-The characterisation of the Hassassin. This character was one of the only two PoC in the book. From the 'middle east', this character wanted to 1. rape women and 2. do terrorism. I think this was a dangerous stereotype that should not be perpetuated in the media. What was even more telling is that this character was a supposed employee of the illuminati which was against all organised religion, yet this character was angry at Christians for the Crusades against Muslims? All in all this character could have been so much better. The twist at the end of the novel when the whole plot comes together also just adds more confusion onto him. He is a supposedly highly trained assassin yet there is no explanation about his backstory at all.
-The forced romance. I just did not like the romance between the two characters. 1. The age gap was unclear but it still made me feel icky and 2. it added absolutely nothing to the book and the end scene was just cringy. (and the MULTIPLE times she takes a gun out of his pocket)

In conclusion
A good read for those who want a stunning plot and a thriller that keeps you guessing. It is well researched and the setting is great. It does have some problematic aspects surrounding characterisation such as making a believable romance and the Hassassin was just a bad character in all aspects but it was a great read otherwise. Without those issues it would have been 5 stars.",Positive,Positive,book lots things right things wrong things right plot amazing kept guessing issues thrillers recently able guess entire plot book first pages ruins fun love guessing plot like many hints like blindsided something make sense plot however immaculate twist felt organic unexpected red herrings expertly placed pace perfect setting good book takes place cern backdrop fantastic felt like taking small holiday picked book things got wrong characterisation hassassin character one two poc book east character wanted rape women terrorism think dangerous stereotype perpetuated media even telling character supposed employee illuminati organised religion yet character angry christians crusades muslims character could much better twist end novel whole plot comes together also adds confusion onto supposedly highly trained assassin yet explanation backstory forced romance like romance two characters age gap unclear still made feel icky added absolutely nothing book end scene cringy multiple times takes gun pocket conclusion good read want stunning plot thriller keeps guessing well researched setting great problematic aspects surrounding characterisation making believable romance hassassin bad character aspects great read otherwise without issues would stars,True
505,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.75,I loved the science/religion discussion. The love story sub trope always confuses me though because in the other books it looks like they never even met (as far as I remember) ,Positive,Positive,loved discussion love story sub trope always confuses though books looks like never even met far remember,True
506,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,2.0,"Over Spring Break I went to Italy with a study-abroad program, and one of the other students lent me this book to read on the flight back home. They told me it was great, I wouldn't be able to put it down, etc.

I, however, didn't find it as good as people told me it was going to be. Basically the only parts I really liked were the parts during which the main characters hung around one of the sights we visited in Rome. For example, my favorite scene was the scene in the Pantheon when they are looking for Raphael's Tomb, which I took about 20 pictures of when I was there.

Other than that, though, I was unimpressed. Dan Brown's writing style was a bit too simplistic for my taste. (Not the plot, just the writing style.) Also, I kept getting annoyed with the main character - a Harvard professor who supposedly was very knowledgeable about the subject he was faced with - for refusing to realize key points until chapters after I had already figured it out.",Negative,Positive,spring break went italy program one students lent book read flight back home told great would able put etc however find good people told going basically parts really liked parts main characters hung around one sights visited rome example favorite scene scene pantheon looking raphael tomb took pictures though unimpressed dan brown writing style bit simplistic taste plot writing style also kept getting annoyed main character harvard professor supposedly knowledgeable subject faced refusing realize key points chapters already figured,True
507,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.5,Absolute thriller and amazing plot twist.,Neutral,Positive,absolute thriller amazing plot twist,True
509,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.0,"YES!! I knew I'd like this, but had no idea how much!

The puzzles, clues, foreshadowing, historical accuracy, information, aesthetic, mystery, storytelling, writing, atmosphere, everything was done flawlessly!

Even the twists, I did not get until they were like 10 pages from happening (
Spoiler
I only got about the Papa wannabe being the bad guy when he jumped out of the helicopter and left Langdon there to die. The whole narrative with the scientist guy whose name I forgot was so well done, I was sure he was responsible.).

I only refuse to give this 5 stars for one simple reason: WHY MAKE IT ROMANTIC?? Seriously, what is it with male authors and having their older male characters be irresistible to young women? is it a self-insert kind of thing? Wishful thinking? I don't know, and I don't get it. There was also no chemistry. They just decided to fuck by the end of the book, because why not? Ugh.

But yeah, other than that, 5 stars.

Victoria was great, by the way. Girl manages to be super intelligent, athletic AND eco-conscious (maybe that's why she went for Robert? A recycling of some sort?).

And Langdon was pretty damn resourceful, gotta give him that. Man knows his stuff.

Anyways, let's move on to The Da Vinci Code! I saw the movie a million years ago and loved it, so fingers crossed!",Positive,Positive,yes knew like idea much puzzles clues foreshadowing historical accuracy information aesthetic mystery storytelling writing atmosphere everything done flawlessly even twists get like pages happening spoiler got papa wannabe bad guy jumped helicopter left langdon die whole narrative scientist guy whose name forgot well done sure refuse give stars one simple reason make romantic seriously male authors older male characters irresistible young women kind thing wishful thinking know get also chemistry decided fuck end book ugh yeah stars victoria great way girl manages super intelligent athletic maybe went robert recycling sort langdon pretty damn resourceful got ta give man knows stuff anyways let move da vinci code saw movie million years ago loved fingers crossed,True
511,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.75,Way better than the Da Vince Code. Looking forward to see the movie adaptation.,Positive,Positive,way better da vince code looking forward see movie adaptation,True
512,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.0,Having a #DanBrownSummer with a few pals and yelling about how Dan writes women and laughing at the bonkers nature of these books and god what a romp,Positive,Positive,danbrownsummer pals yelling dan writes women laughing bonkers nature books god romp,True
515,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,5.0,"Finally, after seeing this book on my shelf for two years, I have finished Dan Brown’s ‘Angels and Demons.’ ‘Angels and Demons’ tells us of Robert Langdon’s first adventure in Vatican City, Rome. Brown’s writing I found was easily readable and I also really enjoyed the short chapters. When reading a book with shorter chapters, I feel I am making faster progress in the book and I am more inclined to continue reading if I can get through six or more chapters in 45 minutes. I also really enjoyed the pacing of the book, I still read a lot of young adult (YA) novels, which I would say are paced faster than adult books and I felt right at home with Brown’s pacing.

Brown seems to be a master storyteller as the elements of his story are polished, I feel he has well written and developed characters, the plot of the book is one that entices the reader, the setting is taboo as Vatican City is a very holy place and the events taking place are anything but. Robert Langdon is a great protagonist, reading his arc from Harvard professor to “hero” was fantastic! I also thoroughly enjoyed the many plot twists throughout the novel. At times I was questioning things as if I knew something might happen and other times I was completely surprised when a plot twist would occur. This book has the things I look for in what I consider a “good book,” it had action, adventure, romance, suspense, humor and it taught me something. I love reading books that are fictional and yet I learn interesting things in the process. I have always been fascinated with history, especially things that aren’t in textbooks like the Illuminati and even history surrounding the church.

This book may not be for everyone as there is much controversy surrounding Brown’s works, especially his most infamous ‘The DaVinci Code.’ Brown is mixing science and religion, two things that are fundamental opposites. The mixture of these two things does not sit well with some, but while there may be some detest for Brown’s books, there is also an audience for his books. I found his book to be a great mix of thrill and thought, a combination that I have gravitated towards for as long as I can remember. I have thoroughly enjoyed my time with this book and I look forward to reading more of Brown’s books, especially those featuring Harvard Symbologist Robert Langdon.",Positive,Positive,finally seeing book shelf two years finished dan brown angels angels demons tells us robert langdon first adventure vatican city rome brown writing found easily readable also really enjoyed short chapters reading book shorter chapters feel making faster progress book inclined continue reading get six chapters minutes also really enjoyed pacing book still read lot young adult ya novels would say paced faster adult books felt right home brown pacing brown seems master storyteller elements story polished feel well written developed characters plot book one entices reader setting taboo vatican city holy place events taking place anything robert langdon great protagonist reading arc harvard professor hero fantastic also thoroughly enjoyed many plot twists throughout novel times questioning things knew something might happen times completely surprised plot twist would occur book things look consider good book action adventure romance suspense humor taught something love reading books fictional yet learn interesting things process always fascinated history especially things textbooks like illuminati even history surrounding church book may everyone much controversy surrounding brown works especially infamous davinci brown mixing science religion two things fundamental opposites mixture two things sit well may detest brown books also audience books found book great mix thrill thought combination gravitated towards long remember thoroughly enjoyed time book look forward reading brown books especially featuring harvard symbologist robert langdon,True
516,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,2.0,Captivating. Better than DaVinci Code. The science v religion argument was very compelling. The ending got a little crazy but you were already so engaged nt he story that you bought into it.  2003 BOY,Negative,Positive,captivating better davinci code science v religion argument compelling ending got little crazy already engaged nt story bought boy,True
517,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.5,"Read this at the urging of a friend. I enjoyed the puzzle parts of it, but wouldn’t say I loved the writing style or the characters.",Positive,Positive,read urging friend enjoyed puzzle parts say loved writing style characters,True
518,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,2.0,"Phew... It was a great reading experience.
Fast paced and thrilling. Loved it",Negative,Positive,phew great reading experience fast paced thrilling loved,True
519,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.0,"I am fully aware that this is not a ""valuable"" book, but this was so enjoyable!
The characters were so well-written(the hate i felt for that Hasassin rivalizes with my hate for Zara Dearborn)and the ending...well that was so unexpected I cant even..
Also, the movie is nothing compared to the book",Neutral,Negative,fully aware valuable book enjoyable characters hate felt hasassin rivalizes hate zara dearborn ending well unexpected cant even also movie nothing compared book,True
520,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,5.0,"I read this book when I was around 14/15 years old. Therefore, my review will be based on the impressions the book left on me back then. Probably if I read the book now, my opinions and impressions would be different.

I really loved this book; I had just started my Italian language and Italian culture studies; therefore, all the Italian terms, the tour around staple cities and places in Italy, and the different references made me enjoy the book very much. The plot was thrilling, and I was glued to the book the whole time I read it.",Positive,Positive,read book around years old therefore review based impressions book left back probably read book opinions impressions would different really loved book started italian language italian culture studies therefore italian terms tour around staple cities places italy different references made enjoy book much plot thrilling glued book whole time read,True
521,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.0,My favorite of all Dan Brown books,Positive,Positive,favorite dan brown books,True
524,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.0,"3.5

This book is a very interesting case. In one sense it’s terrible and in another it’s absolutely brilliant

If yo were to judge this book on writing style, story structure, character development and the use of motifs / cliches you’d reach one conclusion: this book is terrible

On the other hand the level of creativity, research, the time put into the puzzles and the atmosphere in thus book is fanatic. Never have I had a book I’ve had to put down and look into the interesting references, facts and historical information quite like this one. Now that I’m finished I am eager to look into so many new bits of history and life that I wouldn’t be aware of if I didn’t read Angels and Demons.

This is my first Dan Brown book but I think it’s fair to presume none of his work could ever qualify aa elegant prose and this his books would probably make an average English teacher reel in horror. Nevertheless I would highly recommend this book despite it’s very obvious faults.",Neutral,Positive,book interesting case one sense terrible another absolutely brilliant yo judge book writing style story structure character development use motifs cliches reach one conclusion book terrible hand level creativity research time put puzzles atmosphere thus book fanatic never book put look interesting references facts historical information quite like one finished eager look many new bits history life aware read angels demons first dan brown book think fair presume none work could ever qualify aa elegant prose books would probably make average english teacher reel horror nevertheless would highly recommend book despite obvious faults,True
525,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.25,This may be the most pulpy book I've ever read.,Neutral,Neutral,may pulpy book ever read,True
526,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.5,"Robert Langdon is knowledge about religions, their earthly customs and inspirations but that's where the line is drawn in his Art History education and instruction. When he meets Vittoria Vetra the scientist, raised Catholic, woman at CERN he is doubtful that she can teach him anything and vice versa. What they don't realize is this journey to the Vatican City to save her canister of 'antimatter' and the preferiti from the hands of the Illuminati is one that teaches them both about the Catholic Church during the 1700s during the time of Galileo, Bernini, and Michelangelo.
While this both takes jibs at the church's and science's destructive past to move forward to the 21st century, this novel also lightens to the theme that one can not live with out the other. Science can not be hypothesized, observed, and deduced without the inspiration of the wonder of God's creation. Science does nothing but prove the majesty of healing, creation and evolution, reproduction, destruction, and adapting to our world. This book does a wonderful painting the expanse of art and beauty of Rome without the visitor leaving their chair. For someone who hasn't been to this Holy City, this was amazing!
Dan Brown had moments where his flash-backs to Harvard were a little over explained but that's coming from my own knowledge of the Church and how the world already preconceives it. I would have also liked to have seen more of Vittoria's point of view but that's just my bias to read a strong woman like herself. I liked the way this book resolved it's conflict of
Spoiler
the dead cardinals by electing the Electorate of the original conclave. He was the best choice from what the situation allowed his character to show. Also, the ending chapter of the pair debating was perfect. It wasn't unrealistic or gushy. Just intellectual flirting.",Neutral,Positive,robert langdon knowledge religions earthly customs inspirations line drawn art history education instruction meets vittoria vetra scientist raised catholic woman cern doubtful teach anything vice versa realize journey vatican city save canister preferiti hands illuminati one teaches catholic church time galileo bernini michelangelo takes jibs church science destructive past move forward century novel also lightens theme one live science hypothesized observed deduced without inspiration wonder god creation science nothing prove majesty healing creation evolution reproduction destruction adapting world book wonderful painting expanse art beauty rome without visitor leaving chair someone holy city amazing dan brown moments harvard little explained coming knowledge church world already preconceives would also liked seen vittoria point view bias read strong woman like liked way book resolved conflict spoiler dead cardinals electing electorate original conclave best choice situation allowed character show also ending chapter pair debating perfect unrealistic gushy intellectual flirting,True
527,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.75,"So, the only reason this did not get a 5/5 stars was the fact that it was clichéd and semi-predictable. Dan Brown's writing style reminds me of a middle schooler who actually paid attention in history. It was a good story that ended well.",Positive,Positive,reason get stars fact clichéd dan brown writing style reminds middle schooler actually paid attention history good story ended well,True
528,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.0,I love the way Brown brings together science and religion through facts and history to bring together these inspired fiction novels. His detailed descriptions of the locations transport the reader to Rome and the wonders of the Papacy as well as the incredible bond science and religion have; both good and bad,Positive,Positive,love way brown brings together science religion facts history bring together inspired fiction novels detailed descriptions locations transport reader rome wonders papacy well incredible bond science religion good bad,True
529,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,5.0,"Entertaining, but bad.

Dan Brown is not a good writer, but his books are entertaining. The plot is exciting if you can get past how frequently Brown uses Deus ex machina to get Langdon out of a tight spot. Vittoria is horribly written, as are all the women in Dan Brown's books, existing primarily as an object for Langdon to ogle.

Despite all the negatives, the book is an entertaining read, and I intend to read more of Robert Langdon's adventures in the future.",Positive,Positive,entertaining bad dan brown good writer books entertaining plot exciting get past frequently brown uses deus ex machina get langdon tight spot vittoria horribly written women dan brown books existing primarily object langdon ogle despite negatives book entertaining read intend read robert langdon adventures future,True
530,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,5.0,"Very easy to read sometimes fun and interesting, dated language and felt mansplainy and predictable at times. ",Positive,Positive,easy read sometimes fun interesting dated language felt mansplainy predictable times,True
531,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,5.0,"Wow, this book kept twisting and turning all the way up to the very end. A very fast paced thriller, with tons of art, architecture and religious history packed into it. Despite the the slight hand holding from the author, I still feel I enjoyed this book as much as any other and it managed to surprise me on many of it's events. I find it strange that this really made me question my belief in God, and the place religion has in the world, far more than Life of Pi did which was advertised as a story that 'will make you believe in God'.
I absolutely loved all the historical references, but then again that is coming from the art-culture geek within me. Strangely enough one of my favorite characters was the Camerlengo, despite the way it turned out.
Spoiler
One line I really wish hadn't been in there was
' ...He never suspected that later that night, in a country hundreds of miles away, the information would save his life. ' I mean the minute I heard this, seeing as I had already read the back of the book, I though OK so it wasn't exactly like that, but it was enough to completely ruin the pages of build up to the Camerlengo getting in the chopper.",Positive,Positive,wow book kept twisting turning way end fast paced thriller tons art architecture religious history packed despite slight hand holding author still feel enjoyed book much managed surprise many events find strange really made question belief god place religion world far life pi advertised story make believe god absolutely loved historical references coming geek within strangely enough one favorite characters camerlengo despite way turned spoiler one line really wish never suspected later night country hundreds miles away information would save life mean minute heard seeing already read back book though ok exactly like enough completely ruin pages build camerlengo getting chopper,True
533,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.0,"Dan Brown has a way of messing your mind which makes you question reality. This book is so thought-provoking. I read this in a day because this book is so unputdownable! If you’re a beginner in reading, I definitely recomment Dan Brown books.",Neutral,Positive,dan brown way messing mind makes question reality book read day book unputdownable beginner reading definitely recomment dan brown books,True
534,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.0,loved all the history in this! also found the entire concept of religion v science and people's views on it so so interesting to read about.,Positive,Positive,loved history also found entire concept religion v science people views interesting read,True
535,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.0,I couldn't put this down! I've never read a book this quickly...and 700 pages worth! This book had me on the edge of my seat almost the whole time.,Positive,Positive,could put never read book quickly pages worth book edge seat almost whole time,True
537,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.0,girl this book… camp does not even begin to cover it,Positive,Neutral,girl camp even begin cover,True
538,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,5.0,I read this after Da Vinci Code and actually enjoyed it a lot more. Maybe my speed is more Vatican/Rome intrigue than Jesus/possible offspring theory. Either way a much better ride.,Positive,Positive,read da vinci code actually enjoyed lot maybe speed intrigue offspring theory either way much better ride,True
539,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,2.75,"Dan Brown's ""Angels & Demons"" was a fascinating book to read. I found myself mystified by the symbolisms, science, and the histories of various subjects that had been explained and these elements were the main reason I forced myself to finish the book.

The characters were dry and two-dimensional. They had little personality and I personally wasn't invested in them nor could I spot a character arc as to me, they seemed to remain the same from beginning to end. The plot was nice but sometimes, the twists felt a little unnecessary and the romance sub-plot even more so. I liked the way the author wrote the villain of the series but the ending seemed a little rushed to me.

With that being said, I throughly enjoyed the journey of the story - the whole process of the protagonist unearthing inscriptions and solving enigmas were a delight to read, as I myself love answering riddles. This book was a one-time read for me but all said and done, I did enjoy reading the start and middle parts of the story.",Neutral,Positive,dan brown angels demons fascinating book read found mystified symbolisms science histories various subjects explained elements main reason forced finish book characters dry little personality personally invested could spot character arc seemed remain beginning end plot nice sometimes twists felt little unnecessary romance even liked way author wrote villain series ending seemed little rushed said throughly enjoyed journey story whole process protagonist unearthing inscriptions solving enigmas delight read love answering riddles book read said done enjoy reading start middle parts story,True
540,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.5,"Engaging read throughout. Amazed how halfway through the book they only have 30 minutes until destruction. Author does well to stretch out and add twists.
Second Dan Brown book, Lost Symbol read 2 years ago, very similar in many ways just as enjoyable.",Neutral,Positive,engaging read throughout amazed halfway book minutes destruction author well stretch add twists second dan brown book lost symbol read years ago similar many ways enjoyable,True
541,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.0,"2011 Review: Amazing book - a page-turner, I just couldn't put it down! Brilliant story, fast-paced and intriguing! :D

2021 Review: Still as good 10 years later",Positive,Positive,review amazing book could put brilliant story intriguing review still good years later,True
542,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,5.0,"A great first novel in the Robert Langdon series, Dan Brown has a magnificent way of intertwining genuinely interesting facts  with great plot. That being said, I felt that some characters did very little to move the plot along, which made the book feel unnecessarily long at times. Excited to read the next books in the series",Positive,Positive,great first novel robert langdon series dan brown magnificent way intertwining genuinely interesting facts great plot said felt characters little move plot along made book feel unnecessarily long times excited read next books series,True
544,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.75,"I’ve been a fan of Angels and Demons as well as the Da Vinci Code movies for quite some time now, so I thought I’d read the books. While I couldn’t stop envisioning Tom Hanks whenever I thought of Langdon, I don’t think that took away from the feel of the book. Brown takes the reader on a journey that includes many historical and religious references which are utilized in solving a huge mystery/crime. There is always more detail in the book than the movie, which is true in this case. Overall, I really enjoyed the suspense and history in this book. It made for a fascinating, quick read.",Positive,Positive,fan angels demons well da vinci code movies quite time thought read books stop envisioning tom hanks whenever thought langdon think took away feel book brown takes reader journey includes many historical religious references utilized solving huge always detail book movie true case overall really enjoyed suspense history book made fascinating quick read,True
545,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.75,"only thing to say is that the antagonist was deliciously crafted and led to (a) nice plot twist(s)
obviously long but an enjoyable read, especially once things start coming together in the second half of the book",Positive,Positive,thing say antagonist deliciously crafted led nice plot twist obviously long enjoyable read especially things start coming together second half book,True
546,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,5.0,"Slow to get into but action packed, nice twist and quite thought provoking too!",Positive,Positive,slow get action packed nice twist quite thought provoking,True
547,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,5.0,"What a great book! I can't believe I waited this long to read it. I hope the movie does it justice, because it could really be amazing! I couldn't put the book down, and also couldn't wrap my head around the fact that it all happened in one day! Insanity!",Positive,Positive,great book ca believe waited long read hope movie justice could really amazing could put book also could wrap head around fact happened one day insanity,True
548,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,2.0,"Robert Langdon, a world-famous Harvard symbolist is called to a CERN, a Swiss research facility to decipher a symbol burn into the chest of a murdered physicist.

His discovery leads to an unthinkable revelation; a deadly plot against the Catholic Church, by the Illuminati – a centuries-old underground organisation.

In a time-sensitive race, Langdon joins forces with scientist Vittoria Vetra in Rome to save the Vatican from a powerful bomb.

Read the full review here: https://sincerelyyoursannie.com/2021/06/30/angels-and-demons-by-dan-brown-book-review/",Negative,Negative,robert langdon harvard symbolist called cern swiss research facility decipher symbol burn chest murdered physicist discovery leads unthinkable revelation deadly plot catholic church illuminati underground organisation race langdon joins forces scientist vittoria vetra rome save vatican powerful bomb read full review https,True
549,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,5.0,"The first book in the Robert Langdon series was.............. Angels and Demons. What? That is crazy. That is not the order the movies were made in, ah, Hollywood. In Angels and Demons we meet Robert Langdon, the symbologist who will become the main character in Brown's next 5 books. Symbologist, cryptographer.....Dan Brown can make the oddest job titles out to be sexy! Robert Langdon is asked by a Swiss research facility to investigate a symbol burned into the body of a murdered physicist. The symbol belongs to a secret organization called the Illuminati. The Illuminati has historically been known to contain many famous members as well as a hatred for the Catholic Church. As the Vatican prepares to select a new Pope, the Illuminati announces that they have planted a bomb within the Vatican City. Can Langdon follow the clues and save the conclave before the bomb detonates?

Grammar - 5
One thing you can count on with a Dan Brown book is the amazing writing and editing.

Plot - 4.5
The topic was very interesting. It is a fast paced thriller. Brown takes the reader on a thrilling ride that contains just enough ""on the edge of your seat"" tension to keep the reader engaged.

Believability - 4.5
Brown does extensive research. I am not Catholic but have enough understanding of conclaves and the Vatican City to find the background of the story believable. The one funny point that holds me back from a perfect score is the main character. Don't get me wrong, I love Robert Langdon, he is very likable. I sometimes can't mentally get past a college professor who's topic of interest is symbology as someone who dodge's bullets and catches bad guys.

Ending - 4.5
The story had closure. Even though this is a series each book in the series could be read as a stand alone. The one constant between the books is the main character even though he tends to have a new, female sidekick in each book. One benefit of reading the books in order is that you do get to know Robert Langdon's eccentricities, such as his fear of tight spaces, but if the personality quirk is important to the story line Brown makes sure to point it out.

Price Value - 4
When Brown's books initially come out they tend to be more on the higher end of the cost scale. Angels and Demons has come down a couple of dollars in cost but unless you catch a good deal, or find a used copy in a bookstore, or wait another 20 years I don't think it will drop in value a whole lot.

Overall - 5
This series has it all: suspense, drama, romance. It appeals to a wide audience.",Positive,Positive,first book robert langdon series angels demons crazy order movies made ah hollywood angels demons meet robert langdon symbologist become main character brown next books symbologist cryptographer dan brown make oddest job titles sexy robert langdon asked swiss research facility investigate symbol burned body murdered physicist symbol belongs secret organization called illuminati illuminati historically known contain many famous members well hatred catholic church vatican prepares select new pope illuminati announces planted bomb within vatican city langdon follow clues save conclave bomb detonates grammar one thing count dan brown book amazing writing editing plot topic interesting fast paced thriller brown takes reader thrilling ride contains enough edge seat tension keep reader engaged believability brown extensive research catholic enough understanding conclaves vatican city find background story believable one funny point holds back perfect score main character get wrong love robert langdon likable sometimes ca mentally get past college professor topic interest symbology someone dodge bullets catches bad guys ending story closure even though series book series could read stand alone one constant books main character even though tends new female sidekick book one benefit reading books order get know robert langdon eccentricities fear tight spaces personality quirk important story line brown makes sure point price value brown books initially come tend higher end cost scale angels demons come couple dollars cost unless catch good deal find used copy bookstore wait another years think drop value whole lot overall series suspense drama romance appeals wide audience,True
